checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
negative_balance,30,no_credit_all_paid,business,8072,no_savings,less_than_1_year,2,male_single,none,3,car_or_other,25,bank,own,3,skilled_employee,1,no_phone,yes,good
low_balance,24,existing_paid_duly,car_used,12579,very_low_savings,over_7_years,4,female_divorced_married,none,2,no_property,44,none,free,1,management_self_employed,1,has_phone,yes,bad
no_checking_account,24,existing_paid_duly,radio_tv,3430,medium_savings,over_7_years,3,male_single,none,2,car_or_other,31,none,own,1,skilled_employee,2,has_phone,yes,good
no_checking_account,9,critical_account,car_new,2134,very_low_savings,1_to_4_years,4,male_single,none,4,car_or_other,48,none,own,3,skilled_employee,1,has_phone,yes,good
negative_balance,6,existing_paid_duly,radio_tv,2647,medium_savings,1_to_4_years,2,male_single,none,3,real_estate,44,none,rent,1,skilled_employee,2,no_phone,yes,good
negative_balance,10,critical_account,car_new,2241,very_low_savings,less_than_1_year,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,no_phone,no,good
low_balance,12,critical_account,car_used,1804,low_savings,less_than_1_year,3,male_single,none,4,insurance_savings,44,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,10,critical_account,furniture_equipment,2069,no_savings,1_to_4_years,2,male_married_widowed,none,1,car_or_other,26,none,own,2,skilled_employee,1,no_phone,no,good
negative_balance,6,existing_paid_duly,furniture_equipment,1374,very_low_savings,1_to_4_years,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,has_phone,yes,good
no_checking_account,6,no_credit_all_paid,radio_tv,426,very_low_savings,over_7_years,4,male_married_widowed,none,4,car_or_other,39,none,own,1,unskilled_resident,1,no_phone,yes,good
high_balance,12,all_paid_this_bank,radio_tv,409,high_savings,1_to_4_years,3,female_divorced_married,none,3,real_estate,42,none,rent,2,skilled_employee,1,no_phone,yes,good
low_balance,7,existing_paid_duly,radio_tv,2415,very_low_savings,1_to_4_years,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled_employee,1,no_phone,yes,good
negative_balance,60,payment_delay_past,business,6836,very_low_savings,over_7_years,3,male_single,none,4,no_property,63,none,own,2,skilled_employee,1,has_phone,yes,bad
low_balance,18,existing_paid_duly,business,1913,high_savings,less_than_1_year,3,male_married_widowed,none,3,real_estate,36,bank,own,1,skilled_employee,1,has_phone,yes,good
negative_balance,24,existing_paid_duly,furniture_equipment,4020,very_low_savings,1_to_4_years,2,male_single,none,2,car_or_other,27,stores,own,1,skilled_employee,1,no_phone,yes,good
low_balance,18,existing_paid_duly,car_new,5866,low_savings,1_to_4_years,2,male_single,none,2,car_or_other,30,none,own,2,skilled_employee,1,has_phone,yes,good
no_checking_account,12,critical_account,business,1264,no_savings,over_7_years,4,male_single,none,4,no_property,57,none,rent,1,unskilled_resident,1,no_phone,yes,good
high_balance,12,existing_paid_duly,furniture_equipment,1474,very_low_savings,less_than_1_year,4,female_divorced_married,none,1,insurance_savings,33,bank,own,1,management_self_employed,1,has_phone,yes,good
low_balance,45,critical_account,radio_tv,4746,very_low_savings,less_than_1_year,4,male_single,none,2,insurance_savings,25,none,own,2,unskilled_resident,1,no_phone,yes,bad
no_checking_account,48,critical_account,education,6110,very_low_savings,1_to_4_years,1,male_single,none,3,no_property,31,bank,free,1,skilled_employee,1,has_phone,yes,good
high_balance,18,existing_paid_duly,radio_tv,2100,very_low_savings,1_to_4_years,4,male_single,co_applicant,2,real_estate,37,stores,own,1,skilled_employee,1,no_phone,yes,bad
high_balance,10,existing_paid_duly,domestic_appliances,1225,very_low_savings,1_to_4_years,2,male_single,none,2,car_or_other,37,none,own,1,skilled_employee,1,has_phone,yes,good
low_balance,9,existing_paid_duly,radio_tv,458,very_low_savings,1_to_4_years,4,male_single,none,3,real_estate,24,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,30,existing_paid_duly,radio_tv,2333,medium_savings,over_7_years,4,male_single,none,2,car_or_other,30,bank,own,1,management_self_employed,1,no_phone,yes,good
low_balance,12,existing_paid_duly,radio_tv,1158,medium_savings,1_to_4_years,3,male_divorced,none,1,car_or_other,26,none,own,1,skilled_employee,1,has_phone,yes,good
low_balance,18,payment_delay_past,repairs,6204,very_low_savings,1_to_4_years,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,has_phone,yes,good
negative_balance,30,critical_account,car_used,6187,low_savings,4_to_7_years,1,male_married_widowed,none,4,car_or_other,24,none,rent,2,skilled_employee,1,no_phone,yes,good
negative_balance,48,critical_account,car_used,6143,very_low_savings,over_7_years,4,female_divorced_married,none,4,no_property,58,stores,free,2,unskilled_resident,1,no_phone,yes,bad
no_checking_account,11,critical_account,car_new,1393,very_low_savings,less_than_1_year,4,female_divorced_married,none,4,car_or_other,35,none,own,2,management_self_employed,1,no_phone,yes,good
no_checking_account,36,existing_paid_duly,radio_tv,2299,medium_savings,over_7_years,4,male_single,none,4,car_or_other,39,none,own,1,skilled_employee,1,no_phone,yes,good
negative_balance,6,existing_paid_duly,car_used,1352,medium_savings,unemployed,1,female_divorced_married,none,2,insurance_savings,23,none,rent,1,unemployed_unskilled_nonresident,1,has_phone,yes,good
no_checking_account,11,critical_account,car_new,7228,very_low_savings,1_to_4_years,1,male_single,none,4,insurance_savings,39,none,own,2,unskilled_resident,1,no_phone,yes,good
no_checking_account,12,existing_paid_duly,radio_tv,2073,low_savings,1_to_4_years,4,female_divorced_married,co_applicant,2,real_estate,28,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,24,payment_delay_past,furniture_equipment,2333,no_savings,less_than_1_year,4,male_single,none,2,insurance_savings,29,bank,own,1,unskilled_resident,1,no_phone,yes,good
low_balance,27,payment_delay_past,car_used,5965,very_low_savings,over_7_years,1,male_single,none,2,car_or_other,30,none,own,2,management_self_employed,1,has_phone,yes,good
no_checking_account,12,existing_paid_duly,radio_tv,1262,very_low_savings,1_to_4_years,3,male_single,none,2,car_or_other,25,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,18,existing_paid_duly,car_used,3378,no_savings,1_to_4_years,2,male_single,none,1,insurance_savings,31,none,own,1,skilled_employee,1,has_phone,yes,good
low_balance,36,payment_delay_past,car_new,2225,very_low_savings,over_7_years,4,male_single,none,4,no_property,57,bank,free,2,skilled_employee,1,has_phone,yes,bad
no_checking_account,6,all_paid_this_bank,car_new,783,no_savings,1_to_4_years,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,no_phone,yes,good
low_balance,12,existing_paid_duly,radio_tv,6468,no_savings,unemployed,2,male_single,none,1,no_property,52,none,own,1,management_self_employed,1,has_phone,yes,bad
no_checking_account,36,critical_account,radio_tv,9566,very_low_savings,1_to_4_years,2,female_divorced_married,none,2,car_or_other,31,stores,own,2,skilled_employee,1,no_phone,yes,good
high_balance,18,existing_paid_duly,car_new,1961,very_low_savings,over_7_years,3,female_divorced_married,none,2,car_or_other,23,none,own,1,management_self_employed,1,no_phone,yes,good
negative_balance,36,critical_account,furniture_equipment,6229,very_low_savings,less_than_1_year,4,female_divorced_married,co_applicant,4,no_property,23,none,rent,2,unskilled_resident,1,has_phone,yes,bad
low_balance,9,existing_paid_duly,business,1391,very_low_savings,1_to_4_years,2,male_married_widowed,none,1,real_estate,27,bank,own,1,skilled_employee,1,has_phone,yes,good
low_balance,15,critical_account,radio_tv,1537,no_savings,over_7_years,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled_employee,1,has_phone,yes,good
low_balance,36,no_credit_all_paid,business,1953,very_low_savings,over_7_years,4,male_single,none,4,no_property,61,none,free,1,management_self_employed,1,has_phone,yes,bad
low_balance,48,no_credit_all_paid,business,14421,very_low_savings,1_to_4_years,2,male_single,none,2,car_or_other,25,none,own,1,skilled_employee,1,has_phone,yes,bad
no_checking_account,24,existing_paid_duly,radio_tv,3181,very_low_savings,less_than_1_year,4,female_divorced_married,none,4,insurance_savings,26,none,own,1,skilled_employee,1,has_phone,yes,good
no_checking_account,27,existing_paid_duly,repairs,5190,no_savings,over_7_years,4,male_single,none,4,insurance_savings,48,none,own,4,skilled_employee,2,has_phone,yes,good
no_checking_account,12,existing_paid_duly,radio_tv,2171,very_low_savings,less_than_1_year,2,female_divorced_married,none,2,car_or_other,29,bank,own,1,skilled_employee,1,no_phone,yes,good
low_balance,12,existing_paid_duly,car_new,1007,high_savings,1_to_4_years,4,male_married_widowed,none,1,real_estate,22,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,36,existing_paid_duly,education,1819,very_low_savings,1_to_4_years,4,male_single,none,4,no_property,37,stores,free,1,skilled_employee,1,has_phone,yes,bad
no_checking_account,36,existing_paid_duly,radio_tv,2394,no_savings,1_to_4_years,4,female_divorced_married,none,4,car_or_other,25,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,36,existing_paid_duly,car_used,8133,very_low_savings,1_to_4_years,1,female_divorced_married,none,2,insurance_savings,30,bank,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,7,critical_account,radio_tv,730,no_savings,over_7_years,4,male_single,none,2,insurance_savings,46,none,rent,2,unskilled_resident,1,has_phone,yes,good
negative_balance,8,critical_account,others,1164,very_low_savings,over_7_years,3,male_single,none,4,no_property,51,bank,free,2,management_self_employed,2,has_phone,yes,good
low_balance,42,critical_account,business,5954,very_low_savings,4_to_7_years,2,female_divorced_married,none,1,real_estate,41,bank,own,2,unskilled_resident,1,no_phone,yes,good
negative_balance,36,existing_paid_duly,education,1977,no_savings,over_7_years,4,male_single,none,4,no_property,40,none,own,1,management_self_employed,1,has_phone,yes,bad
negative_balance,12,critical_account,car_used,1526,very_low_savings,over_7_years,4,male_single,none,4,no_property,66,none,free,2,management_self_employed,1,no_phone,yes,good
negative_balance,42,existing_paid_duly,radio_tv,3965,very_low_savings,less_than_1_year,4,male_single,none,3,car_or_other,34,none,own,1,skilled_employee,1,no_phone,yes,bad
low_balance,11,payment_delay_past,radio_tv,4771,very_low_savings,4_to_7_years,2,male_single,none,4,insurance_savings,51,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,54,no_credit_all_paid,car_used,9436,no_savings,1_to_4_years,2,male_single,none,2,insurance_savings,39,none,own,1,unskilled_resident,2,no_phone,yes,good
low_balance,30,existing_paid_duly,furniture_equipment,3832,very_low_savings,less_than_1_year,2,male_married_widowed,none,1,insurance_savings,22,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,24,existing_paid_duly,radio_tv,5943,no_savings,less_than_1_year,1,female_divorced_married,none,1,car_or_other,44,none,own,2,skilled_employee,1,has_phone,yes,bad
no_checking_account,15,existing_paid_duly,radio_tv,1213,medium_savings,over_7_years,4,male_single,none,3,insurance_savings,47,stores,own,1,skilled_employee,1,has_phone,yes,good
no_checking_account,18,existing_paid_duly,business,1568,low_savings,1_to_4_years,3,female_divorced_married,none,4,insurance_savings,24,none,rent,1,unskilled_resident,1,no_phone,yes,good
negative_balance,24,existing_paid_duly,others,1755,very_low_savings,over_7_years,4,female_divorced_married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,has_phone,yes,good
negative_balance,10,existing_paid_duly,radio_tv,2315,very_low_savings,over_7_years,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,no_phone,yes,good
no_checking_account,12,critical_account,business,1412,very_low_savings,1_to_4_years,4,female_divorced_married,guarantor,2,real_estate,29,none,own,2,management_self_employed,1,has_phone,yes,good
low_balance,18,critical_account,furniture_equipment,1295,very_low_savings,less_than_1_year,4,female_divorced_married,none,1,insurance_savings,27,none,own,2,skilled_employee,1,no_phone,yes,good
low_balance,36,existing_paid_duly,education,12612,low_savings,1_to_4_years,1,male_single,none,4,no_property,47,none,free,1,skilled_employee,2,has_phone,yes,bad
negative_balance,18,existing_paid_duly,car_new,2249,low_savings,4_to_7_years,4,male_single,none,3,car_or_other,30,none,own,1,management_self_employed,2,has_phone,yes,good
negative_balance,12,no_credit_all_paid,repairs,1108,very_low_savings,4_to_7_years,4,male_single,none,3,real_estate,28,none,own,2,skilled_employee,1,no_phone,yes,bad
no_checking_account,12,critical_account,radio_tv,618,very_low_savings,over_7_years,4,male_single,none,4,real_estate,56,none,own,1,skilled_employee,1,no_phone,yes,good
negative_balance,12,critical_account,car_used,1409,very_low_savings,over_7_years,4,male_single,none,3,real_estate,54,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,12,critical_account,radio_tv,797,no_savings,over_7_years,4,female_divorced_married,none,3,insurance_savings,33,bank,own,1,unskilled_resident,2,no_phone,yes,bad
high_balance,24,critical_account,furniture_equipment,3617,no_savings,over_7_years,4,male_single,co_applicant,4,no_property,20,none,rent,2,skilled_employee,1,no_phone,yes,good
low_balance,12,existing_paid_duly,car_new,1318,high_savings,over_7_years,4,male_single,none,4,real_estate,54,none,own,1,skilled_employee,1,has_phone,yes,good
low_balance,54,no_credit_all_paid,business,15945,very_low_savings,less_than_1_year,3,male_single,none,4,no_property,58,none,rent,1,skilled_employee,1,has_phone,yes,bad
no_checking_account,12,critical_account,education,2012,no_savings,4_to_7_years,4,female_divorced_married,none,2,car_or_other,61,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,18,existing_paid_duly,business,2622,low_savings,1_to_4_years,4,male_single,none,4,car_or_other,34,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,36,critical_account,radio_tv,2337,very_low_savings,over_7_years,4,male_single,none,4,real_estate,36,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,20,payment_delay_past,car_used,7057,no_savings,4_to_7_years,3,male_single,none,4,insurance_savings,36,bank,rent,2,management_self_employed,2,has_phone,yes,good
no_checking_account,24,existing_paid_duly,car_new,1469,low_savings,over_7_years,4,male_married_widowed,none,4,real_estate,41,none,rent,1,unskilled_resident,1,no_phone,yes,good
low_balance,36,existing_paid_duly,radio_tv,2323,very_low_savings,4_to_7_years,4,male_single,none,4,car_or_other,24,none,rent,1,skilled_employee,1,no_phone,yes,good
no_checking_account,6,payment_delay_past,radio_tv,932,very_low_savings,1_to_4_years,3,female_divorced_married,none,2,real_estate,24,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,9,critical_account,furniture_equipment,1919,very_low_savings,4_to_7_years,4,male_single,none,3,car_or_other,35,none,rent,1,skilled_employee,1,has_phone,yes,good
no_checking_account,12,existing_paid_duly,car_used,2445,no_savings,less_than_1_year,2,male_married_widowed,none,4,car_or_other,26,none,rent,1,skilled_employee,1,has_phone,yes,good
low_balance,24,critical_account,others,11938,very_low_savings,1_to_4_years,2,male_single,co_applicant,3,car_or_other,39,none,own,2,management_self_employed,2,has_phone,yes,bad
no_checking_account,18,all_paid_this_bank,car_new,6458,very_low_savings,over_7_years,2,male_single,none,4,no_property,39,bank,own,2,management_self_employed,2,has_phone,yes,bad
low_balance,12,existing_paid_duly,car_new,6078,very_low_savings,4_to_7_years,2,male_single,none,2,car_or_other,32,none,own,1,skilled_employee,1,no_phone,yes,good
negative_balance,24,existing_paid_duly,furniture_equipment,7721,no_savings,less_than_1_year,1,female_divorced_married,none,2,insurance_savings,30,none,own,1,skilled_employee,1,has_phone,no,good
low_balance,14,existing_paid_duly,business,1410,medium_savings,over_7_years,1,male_married_widowed,none,2,real_estate,35,none,own,1,skilled_employee,1,has_phone,yes,good
low_balance,6,payment_delay_past,business,1449,low_savings,over_7_years,1,male_divorced,none,2,car_or_other,31,bank,own,2,skilled_employee,2,no_phone,yes,good
high_balance,15,existing_paid_duly,education,392,very_low_savings,less_than_1_year,4,female_divorced_married,none,4,insurance_savings,23,none,rent,1,skilled_employee,1,has_phone,yes,good
low_balance,18,existing_paid_duly,car_new,6260,very_low_savings,4_to_7_years,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,no_phone,yes,good
no_checking_account,36,critical_account,car_new,7855,very_low_savings,1_to_4_years,4,female_divorced_married,none,2,real_estate,25,stores,own,2,skilled_employee,1,has_phone,yes,bad
negative_balance,12,existing_paid_duly,radio_tv,1680,medium_savings,over_7_years,3,male_married_widowed,none,1,real_estate,35,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,48,critical_account,radio_tv,3578,no_savings,over_7_years,4,male_single,none,1,real_estate,47,none,own,1,skilled_employee,1,has_phone,yes,good
negative_balance,42,existing_paid_duly,radio_tv,7174,no_savings,4_to_7_years,4,female_divorced_married,none,3,car_or_other,30,none,own,1,management_self_employed,1,has_phone,yes,bad
negative_balance,10,critical_account,furniture_equipment,2132,no_savings,less_than_1_year,2,female_divorced_married,co_applicant,3,real_estate,27,none,rent,2,skilled_employee,1,no_phone,no,good
negative_balance,33,critical_account,furniture_equipment,4281,medium_savings,1_to_4_years,1,female_divorced_married,none,4,car_or_other,23,none,own,2,skilled_employee,1,no_phone,yes,bad
low_balance,12,critical_account,car_new,2366,medium_savings,4_to_7_years,3,male_divorced,none,3,car_or_other,36,none,own,1,management_self_employed,1,has_phone,yes,good
negative_balance,21,existing_paid_duly,radio_tv,1835,very_low_savings,1_to_4_years,3,female_divorced_married,none,2,real_estate,25,none,own,2,skilled_employee,1,has_phone,yes,bad
no_checking_account,24,critical_account,car_used,3868,very_low_savings,over_7_years,4,female_divorced_married,none,2,car_or_other,41,none,rent,2,management_self_employed,1,has_phone,yes,good
no_checking_account,12,existing_paid_duly,furniture_equipment,1768,very_low_savings,1_to_4_years,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,no_phone,yes,good
high_balance,10,critical_account,car_new,781,very_low_savings,over_7_years,4,male_single,none,4,no_property,63,none,free,2,skilled_employee,1,has_phone,yes,good
low_balance,18,existing_paid_duly,furniture_equipment,1924,no_savings,less_than_1_year,4,female_divorced_married,none,3,real_estate,27,none,rent,1,skilled_employee,1,no_phone,yes,bad
negative_balance,12,critical_account,car_new,2121,very_low_savings,1_to_4_years,4,male_single,none,2,insurance_savings,30,none,own,2,skilled_employee,1,no_phone,yes,good
negative_balance,12,existing_paid_duly,radio_tv,701,very_low_savings,1_to_4_years,4,male_married_widowed,none,2,real_estate,40,none,own,1,unskilled_resident,1,no_phone,yes,good
low_balance,12,existing_paid_duly,repairs,639,very_low_savings,1_to_4_years,4,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,no_phone,yes,bad
low_balance,12,critical_account,car_used,1860,very_low_savings,unemployed,4,male_single,none,2,car_or_other,34,none,own,2,management_self_employed,1,has_phone,yes,good
negative_balance,12,critical_account,car_new,3499,very_low_savings,1_to_4_years,3,female_divorced_married,co_applicant,2,real_estate,29,none,own,2,skilled_employee,1,no_phone,yes,bad
low_balance,48,existing_paid_duly,car_new,8487,no_savings,4_to_7_years,1,female_divorced_married,none,2,car_or_other,24,none,own,1,skilled_employee,1,no_phone,yes,good
negative_balance,36,payment_delay_past,education,6887,very_low_savings,1_to_4_years,4,male_single,none,3,insurance_savings,29,stores,own,1,skilled_employee,1,has_phone,yes,bad
no_checking_account,15,existing_paid_duly,furniture_equipment,2708,very_low_savings,less_than_1_year,2,male_single,none,3,insurance_savings,27,bank,own,2,unskilled_resident,1,no_phone,yes,good
no_checking_account,18,existing_paid_duly,furniture_equipment,1984,very_low_savings,1_to_4_years,4,male_single,none,4,no_property,47,bank,free,2,skilled_employee,1,no_phone,yes,good
no_checking_account,60,existing_paid_duly,radio_tv,10144,low_savings,4_to_7_years,2,female_divorced_married,none,4,real_estate,21,none,own,1,skilled_employee,1,has_phone,yes,good
no_checking_account,12,critical_account,radio_tv,1240,no_savings,over_7_years,4,female_divorced_married,none,2,real_estate,38,none,own,2,skilled_employee,1,has_phone,yes,good
no_checking_account,27,payment_delay_past,car_used,8613,high_savings,1_to_4_years,2,male_single,none,2,car_or_other,27,none,own,2,skilled_employee,1,no_phone,yes,good
low_balance,12,existing_paid_duly,radio_tv,766,medium_savings,1_to_4_years,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,no_phone,yes,bad
low_balance,15,critical_account,radio_tv,2728,no_savings,4_to_7_years,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled_employee,1,has_phone,yes,good
high_balance,12,existing_paid_duly,radio_tv,1881,very_low_savings,1_to_4_years,2,female_divorced_married,none,2,car_or_other,44,none,rent,1,unskilled_resident,1,has_phone,yes,good
high_balance,6,existing_paid_duly,car_new,709,high_savings,less_than_1_year,2,male_married_widowed,none,2,real_estate,27,none,own,1,unemployed_unskilled_nonresident,1,no_phone,no,good
low_balance,36,existing_paid_duly,radio_tv,4795,very_low_savings,less_than_1_year,4,female_divorced_married,none,1,no_property,30,none,own,1,management_self_employed,1,has_phone,yes,good
negative_balance,27,existing_paid_duly,radio_tv,3416,very_low_savings,1_to_4_years,3,male_single,none,2,car_or_other,27,none,own,1,management_self_employed,1,no_phone,yes,good
negative_balance,18,existing_paid_duly,furniture_equipment,2462,very_low_savings,1_to_4_years,2,male_single,none,2,car_or_other,22,none,own,1,skilled_employee,1,no_phone,yes,bad
no_checking_account,21,critical_account,furniture_equipment,2288,very_low_savings,less_than_1_year,4,female_divorced_married,none,4,insurance_savings,23,none,own,1,skilled_employee,1,has_phone,yes,good
low_balance,48,all_paid_this_bank,business,3566,low_savings,4_to_7_years,4,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,no_phone,yes,good
negative_balance,6,critical_account,car_new,860,very_low_savings,over_7_years,1,female_divorced_married,none,4,no_property,39,none,own,2,skilled_employee,1,has_phone,yes,good
no_checking_account,12,critical_account,car_new,682,low_savings,4_to_7_years,4,female_divorced_married,none,3,car_or_other,51,none,own,2,skilled_employee,1,has_phone,yes,good
negative_balance,36,critical_account,furniture_equipment,5371,very_low_savings,1_to_4_years,3,male_single,guarantor,2,insurance_savings,28,none,own,2,skilled_employee,1,no_phone,yes,good
no_checking_account,18,critical_account,radio_tv,1582,high_savings,over_7_years,4,male_single,none,4,car_or_other,46,none,own,2,skilled_employee,1,no_phone,yes,good
no_checking_account,6,existing_paid_duly,radio_tv,1346,low_savings,over_7_years,2,male_single,none,4,no_property,42,bank,free,1,skilled_employee,2,has_phone,yes,good
no_checking_account,10,existing_paid_duly,radio_tv,1924,very_low_savings,1_to_4_years,1,male_single,none,4,insurance_savings,38,none,own,1,skilled_employee,1,has_phone,no,good
high_balance,36,existing_paid_duly,radio_tv,5848,very_low_savings,1_to_4_years,4,male_single,none,1,car_or_other,24,none,own,1,skilled_employee,1,no_phone,yes,good
low_balance,24,critical_account,car_used,7758,high_savings,over_7_years,2,female_divorced_married,none,4,no_property,29,none,rent,1,skilled_employee,1,no_phone,yes,good
low_balance,24,payment_delay_past,business,6967,low_savings,4_to_7_years,4,male_single,none,4,car_or_other,36,none,rent,1,management_self_employed,1,has_phone,yes,good
negative_balance,12,existing_paid_duly,furniture_equipment,1282,very_low_savings,1_to_4_years,2,female_divorced_married,none,4,car_or_other,20,none,rent,1,skilled_employee,1,no_phone,yes,bad
negative_balance,9,critical_account,repairs,1288,low_savings,over_7_years,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled_employee,2,no_phone,no,good
negative_balance,12,all_paid_this_bank,retraining,339,very_low_savings,over_7_years,4,male_married_widowed,none,1,car_or_other,45,bank,own,1,unskilled_resident,1,no_phone,yes,good
low_balance,24,existing_paid_duly,car_new,3512,low_savings,4_to_7_years,2,male_single,none,3,car_or_other,38,bank,own,2,skilled_employee,1,has_phone,yes,good
no_checking_account,6,critical_account,radio_tv,1898,no_savings,1_to_4_years,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,no_phone,yes,good
no_checking_account,24,critical_account,radio_tv,2872,low_savings,over_7_years,3,male_single,none,4,real_estate,36,none,own,1,skilled_employee,2,has_phone,yes,good
no_checking_account,18,critical_account,car_new,1055,very_low_savings,less_than_1_year,4,female_divorced_married,none,1,insurance_savings,30,none,own,2,skilled_employee,1,no_phone,yes,good
no_checking_account,15,existing_paid_duly,domestic_appliances,1262,medium_savings,4_to_7_years,4,male_single,none,3,insurance_savings,36,none,own,2,skilled_employee,1,has_phone,yes,good
low_balance,10,existing_paid_duly,car_new,7308,very_low_savings,unemployed,2,male_single,none,4,no_property,70,bank,free,1,management_self_employed,1,has_phone,yes,good
no_checking_account,36,existing_paid_duly,car_new,909,medium_savings,over_7_years,4,male_single,none,4,insurance_savings,36,none,own,1,skilled_employee,1,no_phone,yes,good
no_checking_account,6,existing_paid_duly,furniture_equipment,2978,medium_savings,1_to_4_years,1,male_single,none,2,car_or_other,32,none,own,1,skilled_employee,1,has_phone,yes,good
negative_balance,18,existing_paid_duly,furniture_equipment,1131,very_low_savings,unemployed,4,female_divorced_married,none,2,car_or_other,33,none,own,1,skilled_employee,1,no_phone,yes,bad
